dfk	reason
0252220	"PAUP enthält Quatsch"
0252221	"PAUP enthält Quatsch"
0252222	"PAUP enthält Quatsch"
0252229	"PAUP enthält Quatsch"
0408901	"EMAIL enthält ^DCR"
0258631	"AUK enthält mehrere Körperschaften mit Rollen"
0269129	"EMAIL not valid, contains postal address"
0275008	"EMAIL not valid, contains postal address"
0283166	"EMAIL not valid, contains name"
0285163	"EMAIL not valid, contains spaces"
0295865	"EMAIL not valid, contains mailto:"
