UUID,Cluster,Vorkommende Namen,Land,ror_id,ror_name
d91fe209-9c21-410e-82c7-3d54da3ba3f8,RBS-Center fir Altersfroën,"""RBS Center fier Altersfroen, Itzig"" ## ""RBS Center fir Altersfroen, Itzig"" ## ""RBS-Center für Altersfroen, Itzig"" ## ""RBS^DDSCenter fir Altersfroen, Itzig"" ## ""RBS, Itzig"" ## ""RBS, Itzig, Diekirch"" ## ""RBS-Center fir Altersfroën, Luxemburg""",Luxembourg,,
36066514-4600-4621-b87d-57470de0f25b,"Research Unit Applied Vocational Psychology and Policy (AVOPP), Esch-sur-Alzette","AVOPP Applied Vocational Psychology and Policy Research Unit, Esch-sur-Alzette ## ""Applied Vocational Psychology and Policy Research Unit (AVOPP), Belvaux""",Luxembourg,,
35db476a-f97a-42ad-893d-f8e455a0fefa,University of Luxembourg,"""Maison des Sciences Humaines, University of Luxembourg"" ## ""Maison des Sciences Humaines, University of Luxembourg, Esch-sur-Alzette"" ## ""University of Luxembourg - Maison des Sciences Humaines, 11 Porte des Sciences, 4366 Esch-sur-Alzette"" ## ""University of Luxembourg - Maison des Sciences Humaines, Esch‑sur‑Alzette"" ## ""Université de Luxembourg, Esch-sur-Alzette; Maison des Sciences Humaines"" ## ""Université du Luxembourg, Maison des Sciences Humaines, Esch-sur-Alzette"" ## ""Centre Universitaire de Luxembourg"" ## ""Centre Universitaire de Luxembourg, Luxembourg"" ## ""Luxembourg University"" ## ""University of Luxembourg"" ## ""University of Luxembourg, Luxembourg"" ## ""University of Luxembourg, Luxembourg City"" ## ""Universität Luxembourg"" ## ""Universität Luxemburg"" ## ""Universität Luxemburg, Soleuvre"" ## ""Université de Luxembourg"" ## ""Université du Luxembourg"" ## ""Université du Luxembourg"" ## ""Universite du Luxembourg, Esch-sur-Alzette"" ## ""University of Luxembourg, Esch Belval"" ## ""University of Luxembourg, Esch Sur Alzette"" ## ""University of Luxembourg, Esch-Belval"" ## ""University of Luxembourg, Esch-Sur-Alzette"" ## ""University of Luxembourg, Esch-sur-Alzette"" ## ""University of Luxembourg, L-4366 Esch-Belval"" ## ""Universität Luxembourg, Esch-sur-Alzette"" ## ""Universität Luxemburg, Esch-sur-Alzette"" ## ""Université de Luxembourg, Esch"" ## ""Université du Luxembourg, Esch"" ## ""Université du Luxembourg, Esch/Alzette"" ## ""Université du Luxembourg, Esch‑sur‑Alzette"" ## ""Maison de Sciences Humaines, Université du Luxembourg"" ## ""Universität Luxembourg, Maison des Sciences Humaines"" ## ""Université du Luxembourg; Maison des Sciences Humaines"" ## ""University of Luxembourg, Walfderdange"" ## ""University of Luxembourg, Walferdange"" ## ""Universität Luxembourg, Walferdange"" ## ""Université de Luxembourg, Walferdange"" ## ""Université du Luxembourg, Walferdange"" ## ""University of Luxembourg, Grevenmacher"" ## ""University of Luxembourg, Luxembourg-Kirchberg"" ## ""Universität Luxembourg, Campus Limpertsberg"" ## ""Universität Luxemburg, Bivange"" ## ""Universität Luxemburg, Dudelange"" ## ""Universität Luxemburg, Peppange""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
0791bc61-20f3-4251-9b18-d15238fbee7b,University of Luxembourg; Department of Psychology and Educational Sciences; Research Unit Educational Measurement and Applied Cognitive Science,"""University of Luxembourg, EMACS Unit"" ## ""University of Luxembourg; Department of Psychology and Educational Sciences; EMACS Unit"" ## ""University of Luxembourg; Department of Psychology and Educational Sciences; Educational Measurement and Applied Cognitive Science Unit"" ## ""University of Luxembourg; EMACS Unit"" ## ""University of Luxembourg; EMACs unit""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
e81edbf8-0841-4323-9d62-d9f2d985118f,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences","""Faculty of Humanities, Education and Social Sciences, University of Luxembourg, Esch-sur-Alzette"" ## ""Faculty of Humanities, Education and Social Sciences; University of Luxembourg, Esch-sur-Alzette"" ## ""Faculty of Humanities, Education and Social Sciences; University of Luxembourg, Esch/Alzette"" ## ""University of Luxembourg, Esch-sur-Alzette; Faculty of Humanities, Arts and Educational Sciences"" ## ""University of Luxembourg; Faculty of Humanities, Arts and Educational Science"" ## ""University of Luxembourg; Faculty of Humanities, Arts and Educational Sciences"" ## ""Faculty of Humanities, Education and Social Sciences; University of Luxembourg"" ## ""Faculty of Humanities, Education and Social Sciences; University of Luxembourg, Maison des Sciences Humaines"" ## ""Faculty of Humanities, Education and Social Scienes, University of Luxembourg, Belval"" ## ""Fakultät für Geisteswissenschaften, Erziehungswissenschaften und Sozialwissenschaften; Universität Luxemburg"" ## ""University of Luxembourg; Faculty of Humanities, Education and Social Sciences"" ## ""Universität Luxembourg; Fakultät für Geisteswissenschaften, Erziehungswissenschaften und Sozialwissenschaften"" ## ""Universität Luxemburg; Fakultät für Geisteswissenschaften, Erziehungswissenschaften und Sozialwissenschaften"" ## ""University of Luxembourg, Walferdange; Faculty of Humanities, Arts and Educational Sciences"" ## ""University of Luxembourg, Walferdange; Faculty of Language and Literature, Humanities, Arts and Educational Sciences""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
f3ceb138-9fde-4893-a6e7-a78946187d20,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences","""Cognitive Science and Assessment, Department of Behavioral and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette"" ## ""Cognitive and Behavioural Sciences, University of Luxembourg, Esch-sur-Alzette"" ## ""DBCS, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioral & Cognitive Sciences, University of Luxembourg"" ## ""Department of Behavioral and Cognitive Science, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioral and Cognitive Sciences (DBCS), University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioral and Cognitive Sciences, University of Luxembourg"" ## ""Department of Behavioral and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioral and Cognitive Sciences, Université du Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences (DBCS), University of Luxembourg"" ## ""Department of Behavioural and Cognitive Sciences, University of Luxembourg"" ## ""Department of Behavioural and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences, University of Luxembourg, Esch‑sur‑Alzette"" ## ""Department of Behavioural and Cognitive Sciences, University of Luxemburg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences, Universität Luxemburg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences, Université du Luxembourg"" ## ""Department of Behavioural and Cognitive Sciences, Université du Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Studies, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Cognitive and Behavioral Sciences, University of Luxembourg"" ## ""University of Luxembourg, Department of Behavioural and Cognitive Sciences, Esch-sur-Alzette""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
567f8d65-83d9-4052-b3f2-d3ab5c62b5c5,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute for Health and Behavior","""Department of Behavioral and Cognitive Sciences, Institute for Health and Behavior, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences, Institute for Health and Behavior, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences, Institute for Health and Behaviour, University of Luxembourg"" ## ""Department of Behavioural and Cognitive Sciences, Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette"" ## ""Department of Behavioural and Cognitive Sciences, Institute of Health and Behaviour, University of Luxembourg, Esch-sur-Alzette"" ## ""Institute for Health and Behaviour, Department of Behavioural and Cognitive Sciences, University of Luxembourg"" ## ""Institute for Health and Behaviour, Department of Behavioural and Cognitive Sciences, University of Luxembourg, Esch-sur-Alzette"" ## ""University of Luxembourg, Department of Behavioural and Cognitive Sciences, Institute for Health and Behaviour, Esch-sur-Alzette"" ## ""University of Luxembourg, Walferdange; Institut für Health and Behaviour"" ## ""University of Luxembourg, Walferdange; Institute for Health and Behaviour"" ## ""Université de Luxembourg; Institute for Health and Behaviour"" ## ""Department of Behavioral and Cognitive Sciences, Institute for Cognitive Science and Assessment University of Luxembourg, Esch-sur-Alzette"" ## ""Institute for Health and Behaviour; Department of Behavioural and Cognitive Sciences; Faculty of Humanities, Education and Social Sciences; University of Luxembourg""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
00c7c167-02d5-4732-88c6-21d0f59e2d94,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute for Health and Behavior, Addictive and Compulsive Behavior Lab","""Addictive and Compulsive Behaviour Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette"" ## ""Addictive and Compulsive Behaviour Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg, Esch?sur?Alzette"" ## ""Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and Behaviour, Department of Behavioural and Cognitive Sciences, University of Luxembourg"" ## ""Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg"" ## ""Addictive and Compulsive Behaviours Lab (ACB-Lab), Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette"" ## ""Addictive and Compulsive Behaviours Lab, Institute for Health and Behaviour, University of Luxembourg"" ## ""Addictive and Compulsive Behaviours Lab, Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette"" ## ""Addictive and Compulsive Behaviours Lab. Institute for Health and Behaviour, University of Luxembourg"" ## ""Addictive and Compulsive Behaviours Laboratory (ACB-lab), Institute for Health and Behaviours, University of Luxembourg, Esch-sur-Alzette"" ## ""Addictive and Compulsive Behaviours Laboratory, Institute for Health and Behaviour, University of Luxembourg, Esch-sur-Alzette"" ## ""Addictive and Compulsive Behaviours Laboratory, Institute for Health and Behaviours, University of Luxembourg, Esch-sur-Alzette"" ## ""Institute for Health and Behavior, Addictive and Compulsive Behaviours Lab, University of Luxembourg, Esch-sur-Alzette"" ## ""University of Luxembourg, Esch-sur-Alzette; Institute for Health and Behaviour; ACB-Lab Addictive and Compulsive Behaviour Lab""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
2fcfc6c5-c29b-4e51-b0ee-02f0c2752f01,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute for Health and Behavior, Research Group of Health Promotion and Aggression Prevention","""Institute for Health and Behavior, Research Group of Health Promotion and Aggression Prevention, University of Luxembourg, Esch-sur-Alzette"" ## ""University of Luxembourg, Esch-Sur-Alzette; Institute for Health and Behaviour; Health Promotion and Aggression Prevention"" ## ""University of Luxembourg; Institute for Health and Behaviour, Health Promotion and Aggression Prevention""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
07e9c3d6-8904-4530-b14a-abf4a152930c,"University of Luxembourg; Faculty of Humanities, Education and Social Sciences; Department of Behavioral and Cognitive Sciences, Institute for Health and Behavior; Research Group Self-Regulation and Health","""Institute for Health and Behaviour, Research Group Self-Regulation and Health, Universität Luxembourg, Maison des Sciences Humaines"" ## ""Research Group Self-Regulation and Health; Institute for Health and Behaviour; Department of Behavioural and Cognitive Sciences; Faculty of Humanities, Education and Social Sciences; University of Luxembourg, Esch-sur-Alzette""",Luxembourg,https://ror.org/036x5ad56,University of Luxembourg
